customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
15804,4991.0,19,3945.6699999999964,5,5,5,555,Champions
13113,4991.0,40,11766.029999999993,5,5,5,555,Champions
12680,4991.0,4,908.8899999999999,5,4,3,543,Loyal Customers
17490,4991.0,11,2682.01,5,5,5,555,Champions
17315,4991.0,43,6845.550000000006,5,5,5,555,Champions
15498,4991.0,35,13309.830000000004,5,5,5,555,Champions
12713,4991.0,1,824.0700000000002,5,2,3,523,Others
17001,4991.0,11,3842.570000000001,5,5,5,555,Champions
16626,4991.0,20,4760.95,5,5,5,555,Champions
16954,4991.0,9,3172.880000000001,5,5,5,555,Champions
12662,4991.0,12,3755.4599999999987,5,5,5,555,Champions
13426,4991.0,12,3704.6199999999976,5,5,5,555,Champions
14446,4991.0,4,1216.2700000000011,5,4,4,544,Loyal Customers
12423,4991.0,9,2089.0299999999997,5,5,4,554,Loyal Customers
12518,4991.0,5,2053.949999999999,5,4,4,544,Loyal Customers
13777,4991.0,41,27253.519999999993,5,5,5,555,Champions
14397,4991.0,23,2298.9500000000003,5,5,5,555,Champions
16705,4991.0,29,14899.359999999995,5,5,5,555,Champions
15910,4991.0,8,1291.7800000000002,5,5,4,554,Loyal Customers
12748,4991.0,224,43120.96999999973,5,5,5,555,Champions
17389,4991.0,43,34682.00000000002,5,5,5,555,Champions
17428,4991.0,33,19909.259999999995,5,5,5,555,Champions
12433,4991.0,7,14368.76999999998,5,5,5,555,Champions
16558,4991.0,24,9663.8,5,5,5,555,Champions
14441,4991.0,10,1520.9400000000007,5,5,4,554,Loyal Customers
17581,4991.0,31,11371.62,5,5,5,555,Champions
15344,4991.0,5,460.02000000000004,5,4,2,542,Loyal Customers
14051,4991.0,26,15561.219999999994,5,5,5,555,Champions
18102,4991.0,62,382763.23999999964,5,5,5,555,Champions
15694,4991.0,15,6656.18,5,5,5,555,Champions
13069,4991.0,27,5709.520000000001,5,5,5,555,Champions
14422,4991.0,6,4814.139999999999,5,4,5,545,Loyal Customers
12526,4991.0,3,1300.0400000000009,5,3,4,534,Others
16446,4991.0,3,2.8999999999941792,5,3,1,531,Others
17364,4991.0,12,4385.369999999996,5,5,5,555,Champions
17754,4991.0,6,2735.92,5,4,5,545,Loyal Customers
12985,4991.0,3,2158.8600000000006,5,3,5,535,Big Spenders
15311,4991.0,118,65788.25000000006,5,5,5,555,Champions
15877,4992.0,3,443.7300000000001,5,3,2,532,Others
14646,4992.0,77,323427.3099999991,5,5,5,555,Champions
15484,4992.0,5,3593.1999999999994,5,4,5,545,Loyal Customers
13954,4992.0,3,744.75,5,3,3,533,Others
16833,4992.0,4,1080.1299999999997,5,4,4,544,Loyal Customers
13471,4992.0,4,2877.319999999999,5,4,5,545,Loyal Customers
18109,4992.0,31,8078.029999999993,5,5,5,555,Champions
14135,4992.0,15,4878.270000000002,5,5,5,555,Champions
14730,4992.0,8,2208.350000000006,5,5,5,555,Champions
15237,4992.0,4,1605.3600000000006,5,4,4,544,Loyal Customers
15898,4992.0,6,1370.21,5,4,4,544,Loyal Customers
13436,4992.0,1,183.09,5,1,1,511,Others
15214,4992.0,8,2236.47,5,5,5,555,Champions
13408,4992.0,81,29399.29999999998,5,5,5,555,Champions
17757,4992.0,31,5728.199999999991,5,5,5,555,Champions
14191,4992.0,14,6435.4299999999985,5,5,5,555,Champions
13098,4992.0,41,30409.809999999987,5,5,5,555,Champions
13077,4992.0,4,867.0900000000003,5,4,3,543,Loyal Customers
12955,4992.0,14,4674.66,5,5,5,555,Champions
13798,4992.0,63,45466.140000000014,5,5,5,555,Champions
13468,4992.0,41,5941.909999999999,5,5,5,555,Champions
17856,4992.0,6,1469.6400000000003,5,4,4,544,Loyal Customers
17677,4992.0,43,17576.57999999999,5,5,5,555,Champions
12523,4992.0,13,1712.6700000000003,5,5,4,554,Loyal Customers
13026,4992.0,8,1930.77,5,5,4,554,Loyal Customers
17243,4992.0,30,8596.029999999993,5,5,5,555,Champions
15159,4992.0,34,25174.17000000001,5,5,5,555,Champions
13890,4992.0,14,1967.6199999999997,5,5,4,554,Loyal Customers
13078,4992.0,43,12996.280000000004,5,5,5,555,Champions
17924,4992.0,13,3133.250000000001,5,5,5,555,Champions
14056,4992.0,29,8312.569999999974,5,5,5,555,Champions
18210,4992.0,6,2822.6200000000003,5,4,5,545,Loyal Customers
17675,4992.0,41,19938.259999999987,5,5,5,555,Champions
16688,4992.0,4,1197.6599999999996,5,4,4,544,Loyal Customers
17491,4992.0,11,3582.2400000000007,5,5,5,555,Champions
13314,4992.0,4,786.2,5,4,3,543,Loyal Customers
17631,4992.0,3,570.35,5,3,3,533,Others
16442,4992.0,3,624.9299999999998,5,3,3,533,Others
14719,4992.0,6,1609.51,5,4,4,544,Loyal Customers
16523,4992.0,28,9390.15,5,5,5,555,Champions
17949,4992.0,52,58247.74,5,5,5,555,Champions
18223,4992.0,27,6177.7699999999995,5,5,5,555,Champions
15189,4992.0,53,17368.549999999992,5,5,5,555,Champions
17830,4992.0,3,384.2999999999999,5,3,2,532,Others
13536,4992.0,7,4156.28,5,5,5,555,Champions
13102,4992.0,27,6266.790000000001,5,5,5,555,Champions
